id,Input,Output,Inquiry,File,FPAdj,RawFPcounts,AdjFP,Effort
3,1.0,0.2631578947368421,0.0,0.28125,0.12500000000000014,0.5637452474585122,0.38487394957983195,0.3745583038869258
4,0.5238095238095238,0.8421052631578947,0.6896551724137931,0.28125,1.0,0.7677169851345398,0.9411764705882353,0.7279151943462898
5,0.047619047619047616,1.0,0.034482758620689655,0.1875,0.37500000000000017,0.47218641385049687,0.3899159663865546,1.0
6,0.09523809523809523,0.12280701754385964,0.0,0.625,0.0,0.3064634564234779,0.1411764705882353,0.33568904593639576
7,0.42857142857142855,0.03508771929824561,0.0,0.0625,0.12500000000000014,0.10888827244097056,0.010084033613445379,0.26501766784452296
8,0.15873015873015872,0.08771929824561403,0.5172413793103449,0.0625,0.8750000000000004,0.11946216732209586,0.15126050420168066,0.15547703180212016
9,0.6031746031746031,0.9122807017543859,0.4827586206896552,0.40625,0.5,0.8587536510941043,0.8084033613445378,0.4381625441696113
10,0.5238095238095238,0.8421052631578947,0.6896551724137931,0.375,1.0,0.8173718649543918,1.0,0.6537102473498233
11,0.5396825396825397,0.2631578947368421,1.0,0.0625,0.8750000000000004,0.45025537261557025,0.5260504201680672,0.3639575971731449
12,0.4126984126984127,0.08771929824561403,0.27586206896551724,0.0625,0.0,0.1781081213387073,0.04201680672268908,0.08480565371024734
13,0.3333333333333333,0.5087719298245614,0.5517241379310345,0.25,0.25,0.4912781684969729,0.3663865546218487,0.24734982332155475
14,0.5714285714285714,0.49122807017543857,0.6896551724137931,1.0,0.25,1.0,0.8117647058823529,0.40636042402826855
15,0.0,0.0,0.4482758620689655,0.15625,0.5,0.049736468514922555,0.01680672268907563,0.127208480565371
16,0.3333333333333333,0.45614035087719296,0.8275862068965517,0.1875,0.7500000000000003,0.48643180000979064,0.5260504201680672,0.5406360424028269
17,0.5555555555555556,0.7894736842105263,0.41379310344827586,0.0625,0.8750000000000004,0.5897067702299169,0.6840336134453782,0.6289752650176679
18,0.31746031746031744,0.14035087719298245,0.8275862068965517,0.09375,0.8750000000000004,0.2841244717131994,0.3378151260504202,0.2968197879858657
21,0.2857142857142857,0.2807017543859649,0.13793103448275862,0.59375,0.7500000000000003,0.4677806243166946,0.5058823529411764,0.10954063604240283
22,0.8571428571428571,0.9824561403508771,0.0,0.25,0.6250000000000001,0.8231972977824192,0.8319327731092437,0.3992932862190813
23,0.12698412698412698,0.05263157894736842,0.20689655172413793,0.0,0.7500000000000003,0.0,0.0,0.0
24,0.07936507936507936,0.05263157894736842,0.0,0.375,0.5,0.13733009154251585,0.10252100840336134,0.1978798586572438
