id,ID,Language,Hardware,Duration,KSLOC,AdjFP,RAWFP,EffortMM
1,1,0.0,0.0,0.46153846153846156,0.5222681917741543,0.7393289656541592,0.6062416998671979,0.8425423187480038
2,2,0.0,0.2,0.07692307692307693,0.003650523241664639,0.26960492356561444,0.23904382470119523,0.18939635899073776
4,4,0.0,0.0,0.5,0.42686785105865177,0.45569452716564096,0.5205843293492696,0.2034493771957841
5,5,0.0,0.2,0.3076923076923077,1.0,0.8190721990602872,0.9867197875166003,1.0
6,6,0.0,0.6,0.0,0.02677050377220735,0.21269274038779698,0.20849933598937584,0.194187160651549
7,7,0.5,0.6,0.0,0.009734728644439037,0.0,0.0,0.0
8,8,0.0,0.2,0.23076923076923078,0.39182282793867124,0.5910264046059163,0.5982735723771581,0.3420632385819227
9,9,0.0,0.0,0.34615384615384615,0.6084205402774397,0.988021970749785,0.9674634794156707,0.29639092941552214
10,10,0.0,0.0,0.0,0.0,0.09271391701409569,0.10159362549800798,0.15586074736505906
11,11,0.0,0.0,0.3076923076923077,0.5237284010708202,1.0,1.0,0.752155860747365
12,12,0.0,0.8,1.0,0.21805792163543442,0.4560254119515585,0.4163346613545817,0.6627275630788885
13,13,0.0,1.0,0.5769230769230769,0.29788269651983457,0.39110581695453644,0.4037184594953519,0.42733950814436283
14,14,0.0,0.0,0.8076923076923077,0.30615721586760775,0.8256237178214546,0.848605577689243,0.71446822101565
15,15,1.0,0.0,0.34615384615384615,0.0515940618155269,0.6249751836410562,0.5836653386454184,0.14915362503992335
