id,Project,Client.code,Project.type,Actual.start.date,Actual.duration,Actual.effort,Adjusted.function.points,Estimated.completion.date,First.estimate,First.estimate.method
1,0.0,0.0,A,1996-12-10,0.12797074954296161,0.047525460067893516,0.0418794043990604,1997-04-15,0.06276220842423226,EO
2,0.006944444444444444,0.0,D,1997-06-16,0.1956124314442413,0.13775236733964624,0.02026751567626332,1997-08-19,0.20875985903675112,A
4,0.020833333333333332,0.0,P,1997-06-23,0.34552102376599636,0.24245131320350188,0.014676476869018268,1998-03-06,0.24735693908373887,D
5,0.027777777777777776,0.0,D,1997-01-20,0.5283363802559415,0.6444523852063605,0.4888373357147017,1998-01-01,0.6220842423225373,A
6,0.034722222222222224,0.0,P,1997-12-10,0.46983546617915906,0.1536537430766482,0.02993535361379123,1998-08-07,0.12720255076355094,EO
7,0.041666666666666664,0.0,A,1998-07-06,0.31992687385740404,0.35822762194032515,0.07000446506571412,1999-02-17,0.465514348044974,EO
8,0.04861111111111111,0.0,C,1997-12-08,0.2522851919561243,0.26424870466321243,0.10200733823843451,1998-05-22,0.28175868434301055,A
9,0.05555555555555555,0.0,Pr,1997-05-05,1.0,0.1704484545292121,0.06278270660635593,1998-03-17,0.17435811377747945,EO
10,0.0625,0.0,D,1997-03-18,0.2449725776965265,0.2111845631588351,0.03351711284968259,1997-07-30,0.12820943111260277,EO
11,0.06944444444444445,0.0,D,1997-06-01,0.29981718464351004,0.3485795962122566,0.053901108501096855,1997-12-04,0.33629803658331936,EO
12,0.0763888888888889,0.0,D,1997-08-14,0.28884826325411334,0.1613364302304806,0.18287356098697366,1998-01-22,0.2114448733008894,EO
13,0.08333333333333333,0.0,U,1997-07-21,0.1316270566727605,0.1438270502054672,0.0017180796334763445,1997-11-04,0.17133747273032388,D
14,0.09027777777777778,0.0,P,1997-06-23,0.41316270566727603,0.28819010184027155,0.04697054997961601,1998-04-01,0.2977009565363316,EO
15,0.09722222222222222,0.0,A,1997-07-10,0.2340036563071298,0.14239771306056817,0.0945040865057949,1998-03-14,0.20439671085752642,EO
16,0.10416666666666667,0.0,D,1997-03-15,0.016453382084095063,0.01840271574057531,0.1191929879054959,1997-07-23,0.05470716563181742,EO
17,0.1111111111111111,0.2,D,1995-12-18,0.27239488117001825,0.06449883866356977,0.2884529517967036,1996-02-12,0.06477596912233596,EO
18,0.11805555555555555,0.2,D,1995-06-26,0.27787934186471663,0.1400750402001072,0.07497913067111879,?,0.13945292834368184,EO
19,0.125,0.2,P,1995-06-26,0.10603290676416818,0.028765410041093443,0.019723942458892276,1995-09-29,0.04346366840073838,EO
20,0.13194444444444445,0.2,P,1995-09-25,0.029250457038391225,0.00017866714311238162,0.007105278484207257,1995-11-17,0.016613525759355596,EO
21,0.1388888888888889,0.2,P,1997-10-07,0.5996343692870201,0.38181168483115957,0.10992797654869833,1998-12-18,0.4628293337808357,EO
22,0.14583333333333334,0.2,P,1994-12-19,0.7330895795246801,0.20886189029837413,0.09926035215779153,1996-03-01,0.22856183923477094,EO
23,0.1527777777777778,0.2,P,1996-03-11,0.1316270566727605,0.15133107021618725,0.10403117780668207,1996-06-28,0.25943950327236115,EO
24,0.1597222222222222,0.2,D,1996-08-05,0.44972577696526506,0.4718599249597999,0.21501232746403678,1997-05-03,0.33629803658331936,A
25,0.16666666666666666,0.2,P,1998-01-12,0.18281535648994515,0.16508844023584063,0.07875502319892837,1998-06-12,0.17687531465010908,A
26,0.1736111111111111,0.2,P,1997-05-12,0.11882998171846434,0.21654457745220654,0.13214653180873986,1997-09-05,0.35106561503607986,A
27,0.18055555555555555,0.2,P,1997-06-09,0.1206581352833638,0.29462211899231733,0.15927665935431268,1997-10-03,0.3567712703473737,A
28,0.1875,0.2,P,1997-07-01,0.283363802559415,0.34893693049848135,0.16085884568344624,1997-10-31,0.3029031716730995,A
31,0.20833333333333334,0.2,P,1996-09-09,0.24862888482632542,0.4366624977666607,0.21773990021548795,1997-01-15,0.3144822956871958,A
32,0.2152777777777778,0.2,P,1997-02-10,0.2413162705667276,0.21547257459353225,0.09107278057114013,1997-03-01,0.36247692565866757,EO
33,0.2222222222222222,0.2,P,1998-01-05,0.31078610603290674,0.5869215651241737,0.259546504630079,1998-06-06,0.5343178385635173,EO
