id,ID,dev.eff.hrs.,hw,at,FP,co,prod,lnsize,lneff
1,1,0.7683229813664596,0.0,0.0,0.7427101200686106,1.0,0.41288674806365927,0.9159159159159158,0.934169098699062
2,2,0.3700088731144632,0.0,0.0,0.3333333333333333,1.0,0.4324049909600232,0.6906906906906907,0.754412998083089
4,4,0.0385980479148181,0.0,0.0,0.0634648370497427,1.0,0.21728732840784803,0.3003003003003003,0.2713961548794576
5,5,0.6230700976042591,0.0,0.5,0.3213264722698685,1.0,0.7735448405169528,0.6816816816816818,0.8821405191124898
6,6,0.35661047027506654,0.0,0.0,0.5494568324757004,1.0,0.243209356933997,0.8288288288288288,0.7454864145737388
7,7,0.19387755102040816,0.0,1.0,0.2835906232132647,1.0,0.25488677484877575,0.6486486486486487,0.6010639507998804
8,8,0.11304347826086956,0.0,0.0,0.08061749571183534,0.375,0.46889328363206173,0.3483483483483484,0.48000868093055704
9,9,0.09161490683229814,0.0,0.0,0.036020583190394515,0.375,0.651911341264704,0.20420420420420413,0.4352658458296386
10,10,0.17923691215616683,0.0,0.0,1.0,0.125,0.03600166067721703,1.0,0.5829738219841755
11,11,0.04414374445430346,0.5,0.25,0.3110348770726129,0.125,0.032732340795964376,0.6726726726726727,0.2943579319446742
12,12,0.034161490683229816,1.0,0.0,0.14636935391652373,0.125,0.08425308363652596,0.48048048048048037,0.25141544413210254
13,13,0.3139751552795031,0.0,0.75,0.16580903373356204,0.25,0.7056395705453005,0.5105105105105106,0.7148102145616223
14,14,0.3660159716060337,1.0,0.0,0.5677530017152659,0.25,0.24141878975915718,0.8378378378378378,0.7517852016718717
15,15,0.014906832298136646,1.0,0.5,0.0,0.25,0.3847598758956273,0.0,0.1401763230942149
16,16,0.4686335403726708,1.0,0.0,0.17667238421955403,0.25,1.0,0.5255255255255256,0.8119873017106495
17,17,0.24711623779946762,0.5,0.0,0.8684962835906233,0.0,0.08336174638958953,0.960960960960961,0.657786521193766
18,18,0.05723158828748891,0.0,0.0,0.2281303602058319,0.0,0.08210227450280128,0.5915915915915915,0.34154834979242205
19,19,0.07897071872227152,0.0,1.0,0.26472269868496284,0.0,0.09891875627776166,0.6306306306306305,0.4046512507722987
20,20,0.028615794143744454,0.0,0.0,0.09605488850771869,0.0,0.11677782192361778,0.38438438438438444,0.22402092216738
21,21,0.10891748003549245,0.0,1.0,0.29273870783304745,0.0,0.12783128948014555,0.6576576576576577,0.47198060952095633
22,22,0.07275953859804792,0.0,0.0,0.41223556317895943,0.75,0.04282472266244056,0.7507507507507507,0.3881539040031207
23,23,0.07275953859804792,0.0,0.25,0.09548313321898227,0.75,0.27067563670453787,0.38438438438438444,0.3881539040031207
24,24,0.005323868677905945,0.0,0.0,0.09719839908519154,0.75,0.035550920738376374,0.38738738738738737,0.05925374160632493
25,25,0.0,0.0,1.0,0.07489994282447113,0.75,0.03122437445592732,0.3333333333333334,0.0
26,26,0.2538598047914818,0.0,0.5,0.34419668381932533,0.5,0.2784126782884311,0.6996996996996997,0.6641502363355228
27,27,0.18868677905944986,0.0,0.5,0.5546026300743282,0.5,0.11003275819736168,0.831831831831832,0.5947955827458072
28,28,0.36557231588287487,0.0,0.0,0.566609491137793,0.5,0.24163742773598804,0.8378378378378378,0.7514914917422522
29,29,0.33873114463176573,0.0,0.0,0.8765008576329331,0.5,0.12832106426195844,0.9639639639639639,0.7330672646863275
30,30,0.8087843833185449,0.0,0.75,0.888507718696398,0.875,0.35968932836320616,0.9669669669669668,0.9469571114484758
31,31,0.0058562555456965395,0.0,0.5,0.1926815323041738,0.875,0.0,0.5495495495495496,0.06448862902902155
32,32,1.0,0.0,0.75,0.7329902801600915,0.625,0.557214133613089,0.9129129129129129,1.0
33,33,0.7351818988464951,0.0,0.0,0.5248713550600344,0.625,0.5661622553068012,0.8168168168168167,0.9231960037044772
34,34,0.7426796805678794,0.0,0.0,0.9456832475700401,0.625,0.30474962612441686,0.984984984984985,0.9257202731170039
35,35,0.46095829636202307,0.0,0.75,0.6192109777015438,0.625,0.2849430325215955,0.8648648648648648,0.8079436138284463
36,36,0.8181011535048802,0.0,0.75,0.5626072041166381,0.625,0.5908625968170353,0.8378378378378378,0.9498131785012511
37,37,0.6259094942324755,0.0,0.75,0.39451114922813035,0.625,0.6365117564340081,0.7387387387387387,0.8832660237427029
38,38,0.01419698314108252,0.0,0.25,0.07089765580331618,0.625,0.0947959911609116,0.3213213213213214,0.13498591393762263
