id,Project,TeamExp,ManagerExp,YearEnd,Length,Effort,Transactions,Entities,PointsNonAdjust,Adjustment,PointsAjust,Language
1,0.0,0.4,0.625,0.5,0.3333333333333333,0.45917655268667135,0.37423312883435583,0.11842105263157894,0.32222222222222224,0.6170212765957447,0.37735849056603776,0.0
2,0.012658227848101266,0.2,0.125,0.6666666666666666,0.09090909090909091,0.5073272854152129,0.2883435582822086,0.3078947368421053,0.34444444444444444,0.5957446808510638,0.3977987421383648,0.0
3,0.02531645569620253,1.0,0.625,0.5,0.0,0.025819958129797628,0.04754601226993865,0.1394736842105263,0.0375,0.2765957446808511,0.0330188679245283,0.0
4,0.0379746835443038,0.2,0.125,0.6666666666666666,0.12121212121212122,0.3272854152128402,0.2929447852760736,0.29473684210526313,0.3416666666666667,0.5319148936170213,0.3789308176100629,0.0
5,0.05063291139240506,0.2,0.125,0.6666666666666666,0.09090909090909091,0.159804605722261,0.200920245398773,0.22894736842105262,0.22361111111111112,0.40425531914893614,0.22955974842767296,0.0
6,0.06329113924050633,0.2,0.125,0.6666666666666666,0.09090909090909091,0.22679692951849267,0.13496932515337423,0.21578947368421053,0.15694444444444444,0.7021276595744681,0.20440251572327045,0.0
7,0.0759493670886076,0.6,0.25,0.5,0.24242424242424243,0.2016748080949058,0.1687116564417178,0.09210526315789473,0.12222222222222222,0.425531914893617,0.13050314465408805,0.5
8,0.08860759493670886,0.4,0.375,0.16666666666666666,0.36363636363636365,0.33565945568736916,0.2714723926380368,0.11842105263157894,0.22916666666666666,0.425531914893617,0.2389937106918239,0.0
9,0.10126582278481013,0.8,0.25,0.5,0.3333333333333333,0.7285415212840195,0.25,0.2131578947368421,0.25972222222222224,0.5319148936170213,0.2908805031446541,0.0
10,0.11392405063291139,0.8,0.625,0.16666666666666666,0.09090909090909091,0.1870202372644801,0.1058282208588957,0.08157894736842106,0.059722222222222225,0.40425531914893614,0.06446540880503145,0.0
11,0.12658227848101267,1.0,0.25,0.3333333333333333,0.6060606060606061,0.35101186322400557,0.24233128834355827,0.24210526315789474,0.26805555555555555,0.40425531914893614,0.2751572327044025,0.0
12,0.13924050632911392,0.6,0.25,0.3333333333333333,0.48484848484848486,0.8478715980460573,0.21012269938650308,0.27631578947368424,0.2569444444444444,0.7446808510638298,0.32861635220125784,0.0
13,0.1518987341772152,0.4,0.25,0.3333333333333333,0.06060606060606061,0.17306350314026517,0.03680981595092025,0.17105263157894737,0.044444444444444446,0.2978723404255319,0.040880503144654086,0.0
14,0.16455696202531644,0.8,0.625,0.5,0.21212121212121213,0.3614794138171668,0.23466257668711657,0.14210526315789473,0.20833333333333334,0.574468085106383,0.24213836477987422,0.0
15,0.17721518987341772,1.0,0.625,0.5,0.24242424242424243,0.44173063503140264,0.3282208588957055,0.3,0.3763888888888889,0.48936170212765956,0.4056603773584906,0.0
16,0.189873417721519,0.8,0.375,0.5,0.21212121212121213,0.10676901605024425,0.1687116564417178,0.10789473684210527,0.13055555555555556,0.44680851063829785,0.14150943396226415,0.5
17,0.20253164556962025,1.0,0.5,0.5,0.21212121212121213,0.26378227494766227,0.0736196319018405,0.09473684210526316,0.0375,0.8085106382978723,0.07232704402515723,0.0
18,0.21518987341772153,1.0,0.625,0.6666666666666666,0.3939393939393939,0.2882065596650384,0.09049079754601227,0.8131578947368421,0.43194444444444446,0.3191489361702128,0.41509433962264153,0.5
19,0.22784810126582278,0.8,0.625,0.8333333333333334,0.3939393939393939,0.3935799023028611,0.0,0.9973684210526316,0.44722222222222224,0.3404255319148936,0.4371069182389937,0.5
20,0.24050632911392406,1.0,0.375,0.6666666666666666,0.12121212121212122,0.02930914166085136,0.07515337423312883,0.07105263157894737,0.02638888888888889,0.5106382978723404,0.03773584905660377,0.0
22,0.26582278481012656,0.6,0.625,0.5,0.5151515151515151,0.4619678995115143,0.12116564417177914,0.42894736842105263,0.2569444444444444,0.6170212765957447,0.30345911949685533,0.0
23,0.27848101265822783,0.6,0.625,0.6666666666666666,0.12121212121212122,0.5212840195394278,0.455521472392638,0.32894736842105265,0.5069444444444444,0.6808510638297872,0.6053459119496856,0.0
24,0.2911392405063291,1.0,0.25,0.8333333333333334,0.5757575757575758,1.0,0.45245398773006135,0.1868421052631579,0.42916666666666664,0.723404255319149,0.5267295597484277,0.0
25,0.3037974683544304,0.4,0.625,0.6666666666666666,0.21212121212121213,0.34263782274947663,0.12269938650306748,0.5078947368421053,0.3,0.5957446808510638,0.3474842767295597,0.0
26,0.31645569620253167,1.0,0.25,0.5,0.3939393939393939,0.26099092812281927,0.11809815950920245,0.5868421052631579,0.3375,0.5957446808510638,0.389937106918239,0.0
