id,ID,AFP,Input,Output,Enquiry,File,Interface,Added,Changed,Deleted,PDR_AFP,PDR_UFP,NPDR_AFP,NPDU_UFP,Resource,Dev.Type,Duration,N_effort,Effort
1,1,0.4558058925476603,0.5832705350414469,0.20950846091861403,0.44041450777202074,0.12864321608040202,0.0,0.47606973058637087,0.0,0.0,0.05269461077844312,0.05245535714285714,0.042743538767395624,0.042632066728452274,1.0,0.0,0.03614457831325301,0.7331433064674661,0.8839412600663192
2,2,0.07250144425187753,0.006782215523737754,0.0032232070910556,0.0038860103626943004,0.19396984924623115,0.13666666666666666,0.016164817749603804,0.054245283018867926,0.23921568627450981,0.18802395209580838,0.18191964285714285,0.1550695825049702,0.15013901760889717,0.3333333333333333,0.0,0.1927710843373494,0.4048555140554354,0.4883941260066319
3,3,0.04130560369728481,0.018839487565938208,0.0265914585012087,0.03626943005181347,0.04221105527638191,0.11666666666666667,0.05166402535657686,0.0,0.0,0.049101796407185636,0.04241071428571428,0.039761431411530816,0.03429101019462465,0.0,0.0,0.0963855421686747,0.0626105759779831,0.07603031738512553
4,4,0.07019064124783363,0.11379050489826677,0.022562449637389202,0.010362694300518135,0.03919597989949749,0.0,0.021870047543581617,0.060141509433962265,0.01568627450980392,0.1497005988023952,0.15624999999999997,0.15009940357852883,0.15662650602409642,0.0,0.0,0.03614457831325301,0.38038136426184394,0.3803884414969209
5,5,0.08174465626805315,0.07008289374529013,0.0,0.25129533678756477,0.020100502512562814,0.0,0.0,0.12067610062893082,0.0,0.11976047904191617,0.1060267857142857,0.11928429423459246,0.10472659870250231,0.0,0.0,0.14457831325301204,0.3514841753489286,0.3514921837991473
6,6,0.021374927787406125,0.04747550866616428,0.0,0.031088082901554404,0.0,0.0,0.0,0.03419811320754717,0.0,0.18922155688622755,0.16741071428571427,0.18787276341948314,0.16774791473586656,0.0,0.0,0.03614457831325301,0.15480636917633184,0.15478446234012316
7,7,0.020219526285384173,0.01808590806330068,0.0,0.029792746113989636,0.03015075376884422,0.0,0.0,0.030267295597484277,0.0,0.23952095808383234,0.22991071428571425,0.2395626242544732,0.22891566265060245,0.0,0.0,0.060240963855421686,0.18724198938470613,0.1872335386072951
8,8,0.025418833044482957,0.0,0.08702659145850121,0.009067357512953367,0.0,0.016666666666666666,0.03803486529318542,0.0,0.0,0.13892215568862276,0.10491071428571426,0.1143141153081511,0.08619091751621871,0.3333333333333333,0.0,0.07228915662650602,0.11077255749950855,0.13405968735196588
9,9,0.030906990179087233,0.0,0.018533440773569703,0.07512953367875648,0.01407035175879397,0.06666666666666667,0.02567353407290016,0.013364779874213837,0.0,0.1245508982035928,0.11718749999999999,0.1242544731610338,0.11677479147358666,0.0,0.0,0.060240963855421686,0.14419107528995478,0.14412600663192798
10,10,0.01242056614673599,0.0293896006028636,0.0056406124093473006,0.0,0.0,0.0,0.0,0.018081761006289308,0.0,0.7724550898203593,0.8147321428571428,0.772365805168986,0.8146431881371641,0.0,0.0,0.07228915662650602,0.39630430509140946,0.396257697773567
12,12,0.016753321779318313,0.024114544084400905,0.0040290088638195,0.02072538860103627,0.007035175879396985,0.0,0.00792393026941363,0.013757861635220126,0.0,0.30059880239520953,0.3136160714285714,0.3001988071570577,0.31325301204819284,0.0,0.0,0.07228915662650602,0.19874189109494791,0.19872098531501659
13,13,0.05488157134604275,0.0,0.0926672038678485,0.07383419689119171,0.0,0.14,0.06782884310618066,0.0,0.0,0.15568862275449102,0.13392857142857142,0.147117296222664,0.1278962001853568,0.3333333333333333,0.0,0.07228915662650602,0.295164143896206,0.3095689246802463
14,14,0.04823801270941652,0.009796533534287867,0.043513295729250605,0.06994818652849741,0.04020100502512563,0.023333333333333334,0.05324881141045959,0.0,0.0,0.2239520958083832,0.21874999999999994,0.18489065606361832,0.1807228915662651,0.0,0.0,0.30120481927710846,0.32602712797326516,0.3934154429180483
