sample_index,split,rule_id,original_label,sugeno_output,firing_strength,normalized_firing_strength,rule_output,rule_contribution,PointsAjust,TeamExp,Length,actual,predicted
0,all,R1,Very_Low,R1_OUT,0.0,0.0,14738.417856475156,0.0,0.3773584905660377,0.4,0.3333333333333333,5152.0,6195.293419377405
0,all,R2,Very_Low,R2_OUT,0.0,0.0,-24840.322675494837,-0.0,0.3773584905660377,0.4,0.3333333333333333,5152.0,6195.293419377405
0,all,R3,Low,R3_OUT,0.0,0.0,-16488.32801125211,-0.0,0.3773584905660377,0.4,0.3333333333333333,5152.0,6195.293419377405
0,all,R4,Low,R4_OUT,0.0,0.0,-3814.742732201663,-0.0,0.3773584905660377,0.4,0.3333333333333333,5152.0,6195.293419377405
0,all,R5,Low,R5_OUT,0.0,0.0,4219.250974948194,0.0,0.3773584905660377,0.4,0.3333333333333333,5152.0,6195.293419377405
0,all,R6,Medium,R6_OUT,0.0,0.0,-17316.31357628023,-0.0,0.3773584905660377,0.4,0.3333333333333333,5152.0,6195.293419377405
0,all,R7,Low,R7_OUT,0.0,0.0,-41017.96618806975,-0.0,0.3773584905660377,0.4,0.3333333333333333,5152.0,6195.293419377405
0,all,R8,Low,R8_OUT,0.0,0.0,-5302.808984342003,-0.0,0.3773584905660377,0.4,0.3333333333333333,5152.0,6195.293419377405
0,all,R9,Medium,R9_OUT,0.0,0.0,-8287.458769959296,-0.0,0.3773584905660377,0.4,0.3333333333333333,5152.0,6195.293419377405
0,all,R10,Medium,R10_OUT,0.0,0.0,-16729.15129262136,-0.0,0.3773584905660377,0.4,0.3333333333333333,5152.0,6195.293419377405
0,all,R11,High,R11_OUT,0.0,0.0,26370.05426777743,0.0,0.3773584905660377,0.4,0.3333333333333333,5152.0,6195.293419377405
0,all,R12,High,R12_OUT,0.06837606837606851,0.06124401913875609,1693.9605513721926,103.74495242853638,0.3773584905660377,0.4,0.3333333333333333,5152.0,6195.293419377405
0,all,R13,High,R13_OUT,0.16666666666666713,0.14928229665071807,-18099.196815263305,-2701.8896681158685,0.3773584905660377,0.4,0.3333333333333333,5152.0,6195.293419377405
0,all,R14,Medium,R14_OUT,0.0,0.0,-52810.319898171096,-0.0,0.3773584905660377,0.4,0.3333333333333333,5152.0,6195.293419377405
0,all,R15,Medium,R15_OUT,0.0,0.0,4187.25559289571,0.0,0.3773584905660377,0.4,0.3333333333333333,5152.0,6195.293419377405
0,all,R16,High,R16_OUT,0.0,0.0,23037.60141777665,0.0,0.3773584905660377,0.4,0.3333333333333333,5152.0,6195.293419377405
0,all,R17,High,R17_OUT,0.0,0.0,-8173.7164127670985,-0.0,0.3773584905660377,0.4,0.3333333333333333,5152.0,6195.293419377405
0,all,R18,Very_High,R18_OUT,0.0,0.0,2229.913341546424,0.0,0.3773584905660377,0.4,0.3333333333333333,5152.0,6195.293419377405
0,all,R19,Very_High,R19_OUT,0.25641025641025617,0.22966507177033466,-11131.309696968536,-2556.473040452101,0.3773584905660377,0.4,0.3333333333333333,5152.0,6195.293419377405
0,all,R20,Very_High,R20_OUT,0.6249999999999999,0.5598086124401912,20274.627655410426,11349.911175516838,0.3773584905660377,0.4,0.3333333333333333,5152.0,6195.293419377405
1,all,R1,Very_Low,R1_OUT,0.0,0.05,14697.544140620557,734.8772070310279,0.3977987421383648,0.2,0.0909090909090909,5635.0,5516.181323050154
1,all,R2,Very_Low,R2_OUT,0.0,0.05,6.516392546494899,0.32581962732474495,0.3977987421383648,0.2,0.0909090909090909,5635.0,5516.181323050154
1,all,R3,Low,R3_OUT,0.0,0.05,-11682.922947793399,-584.14614738967,0.3977987421383648,0.2,0.0909090909090909,5635.0,5516.181323050154
1,all,R4,Low,R4_OUT,0.0,0.05,23894.38696606687,1194.7193483033436,0.3977987421383648,0.2,0.0909090909090909,5635.0,5516.181323050154
1,all,R5,Low,R5_OUT,0.0,0.05,378.2626213096851,18.913131065484254,0.3977987421383648,0.2,0.0909090909090909,5635.0,5516.181323050154
1,all,R6,Medium,R6_OUT,0.0,0.05,-34881.53012339876,-1744.0765061699383,0.3977987421383648,0.2,0.0909090909090909,5635.0,5516.181323050154
1,all,R7,Low,R7_OUT,0.0,0.05,-10194.290630413485,-509.71453152067426,0.3977987421383648,0.2,0.0909090909090909,5635.0,5516.181323050154
1,all,R8,Low,R8_OUT,0.0,0.05,-4172.870336467064,-208.6435168233532,0.3977987421383648,0.2,0.0909090909090909,5635.0,5516.181323050154
1,all,R9,Medium,R9_OUT,0.0,0.05,2959.9065952819274,147.99532976409637,0.3977987421383648,0.2,0.0909090909090909,5635.0,5516.181323050154
1,all,R10,Medium,R10_OUT,0.0,0.05,5231.846780904572,261.59233904522864,0.3977987421383648,0.2,0.0909090909090909,5635.0,5516.181323050154
1,all,R11,High,R11_OUT,0.0,0.05,55609.96797278192,2780.498398639096,0.3977987421383648,0.2,0.0909090909090909,5635.0,5516.181323050154
1,all,R12,High,R12_OUT,0.0,0.05,11569.923346062718,578.496167303136,0.3977987421383648,0.2,0.0909090909090909,5635.0,5516.181323050154
1,all,R13,High,R13_OUT,0.0,0.05,-7328.093708146647,-366.4046854073324,0.3977987421383648,0.2,0.0909090909090909,5635.0,5516.181323050154
1,all,R14,Medium,R14_OUT,0.0,0.05,-27070.871410008516,-1353.5435705004259,0.3977987421383648,0.2,0.0909090909090909,5635.0,5516.181323050154
1,all,R15,Medium,R15_OUT,0.0,0.05,9931.752895907988,496.58764479539946,0.3977987421383648,0.2,0.0909090909090909,5635.0,5516.181323050154
1,all,R16,High,R16_OUT,0.0,0.05,18326.236660684634,916.3118330342318,0.3977987421383648,0.2,0.0909090909090909,5635.0,5516.181323050154
1,all,R17,High,R17_OUT,0.0,0.05,13706.3287589463,685.3164379473151,0.3977987421383648,0.2,0.0909090909090909,5635.0,5516.181323050154
1,all,R18,Very_High,R18_OUT,0.0,0.05,-2977.799197487941,-148.88995987439705,0.3977987421383648,0.2,0.0909090909090909,5635.0,5516.181323050154
1,all,R19,Very_High,R19_OUT,0.0,0.05,16134.884866755314,806.7442433377657,0.3977987421383648,0.2,0.0909090909090909,5635.0,5516.181323050154
1,all,R20,Very_High,R20_OUT,0.0,0.05,36184.4468168499,1809.2223408424952,0.3977987421383648,0.2,0.0909090909090909,5635.0,5516.181323050154
2,all,R1,Very_Low,R1_OUT,1.0,1.0,806.0281706571302,806.0281706571302,0.0330188679245283,1.0,0.0,805.0,806.0281706571302
2,all,R2,Very_Low,R2_OUT,0.0,0.0,28420.341750121173,0.0,0.0330188679245283,1.0,0.0,805.0,806.0281706571302
2,all,R3,Low,R3_OUT,0.0,0.0,14770.554876762048,0.0,0.0330188679245283,1.0,0.0,805.0,806.0281706571302
2,all,R4,Low,R4_OUT,0.0,0.0,39446.16453397028,0.0,0.0330188679245283,1.0,0.0,805.0,806.0281706571302
2,all,R5,Low,R5_OUT,0.0,0.0,5044.459498850412,0.0,0.0330188679245283,1.0,0.0,805.0,806.0281706571302
2,all,R6,Medium,R6_OUT,0.0,0.0,-4976.531911680289,-0.0,0.0330188679245283,1.0,0.0,805.0,806.0281706571302
2,all,R7,Low,R7_OUT,0.0,0.0,26275.97577142647,0.0,0.0330188679245283,1.0,0.0,805.0,806.0281706571302
2,all,R8,Low,R8_OUT,0.0,0.0,24246.250938722565,0.0,0.0330188679245283,1.0,0.0,805.0,806.0281706571302
2,all,R9,Medium,R9_OUT,0.0,0.0,-286.82126119675763,-0.0,0.0330188679245283,1.0,0.0,805.0,806.0281706571302
2,all,R10,Medium,R10_OUT,0.0,0.0,52366.30611138265,0.0,0.0330188679245283,1.0,0.0,805.0,806.0281706571302
2,all,R11,High,R11_OUT,0.0,0.0,92444.92739736657,0.0,0.0330188679245283,1.0,0.0,805.0,806.0281706571302
2,all,R12,High,R12_OUT,0.0,0.0,19126.33041111224,0.0,0.0330188679245283,1.0,0.0,805.0,806.0281706571302
2,all,R13,High,R13_OUT,0.0,0.0,13780.60589899349,0.0,0.0330188679245283,1.0,0.0,805.0,806.0281706571302
2,all,R14,Medium,R14_OUT,0.0,0.0,3139.349821616579,0.0,0.0330188679245283,1.0,0.0,805.0,806.0281706571302
2,all,R15,Medium,R15_OUT,0.0,0.0,-10760.426450532068,-0.0,0.0330188679245283,1.0,0.0,805.0,806.0281706571302
2,all,R16,High,R16_OUT,0.0,0.0,-8311.664330884481,-0.0,0.0330188679245283,1.0,0.0,805.0,806.0281706571302
2,all,R17,High,R17_OUT,0.0,0.0,81912.58084798353,0.0,0.0330188679245283,1.0,0.0,805.0,806.0281706571302
2,all,R18,Very_High,R18_OUT,0.0,0.0,13433.365058042771,0.0,0.0330188679245283,1.0,0.0,805.0,806.0281706571302
2,all,R19,Very_High,R19_OUT,0.0,0.0,13131.068117703871,0.0,0.0330188679245283,1.0,0.0,805.0,806.0281706571302
2,all,R20,Very_High,R20_OUT,0.0,0.0,66247.9719488221,0.0,0.0330188679245283,1.0,0.0,805.0,806.0281706571302
3,all,R1,Very_Low,R1_OUT,0.0,0.05,13564.059086998532,678.2029543499266,0.3789308176100629,0.2,0.1212121212121212,3829.0,3939.9089110030072
3,all,R2,Very_Low,R2_OUT,0.0,0.05,-2800.0682108031287,-140.00341054015644,0.3789308176100629,0.2,0.1212121212121212,3829.0,3939.9089110030072
3,all,R3,Low,R3_OUT,0.0,0.05,-12227.981909572505,-611.3990954786253,0.3789308176100629,0.2,0.1212121212121212,3829.0,3939.9089110030072
3,all,R4,Low,R4_OUT,0.0,0.05,19103.156582262625,955.1578291131314,0.3789308176100629,0.2,0.1212121212121212,3829.0,3939.9089110030072
