sample_index,split,rule_id,original_label,sugeno_output,firing_strength,normalized_firing_strength,rule_output,rule_contribution,RawFPcounts,Input,File,actual,predicted
0,all,R1,Very_Low,R1_OUT,0.0,0.0,-3.2861720167502124,-0.0,0.5637452474585122,1.0,0.28125,11.1,-3.488679267827733
0,all,R2,Very_Low,R2_OUT,0.0,0.0,4.923194923237276,0.0,0.5637452474585122,1.0,0.28125,11.1,-3.488679267827733
0,all,R3,Low,R3_OUT,0.0,0.0,-16.878007437526062,-0.0,0.5637452474585122,1.0,0.28125,11.1,-3.488679267827733
0,all,R4,Low,R4_OUT,0.0,0.0,-0.4185581008107569,-0.0,0.5637452474585122,1.0,0.28125,11.1,-3.488679267827733
0,all,R5,Medium,R5_OUT,0.0,0.0,0.0,0.0,0.5637452474585122,1.0,0.28125,11.1,-3.488679267827733
0,all,R6,Medium,R6_OUT,0.0,0.0,0.0,0.0,0.5637452474585122,1.0,0.28125,11.1,-3.488679267827733
0,all,R7,Low,R7_OUT,0.0,0.0,44.235380158601785,0.0,0.5637452474585122,1.0,0.28125,11.1,-3.488679267827733
0,all,R8,Medium,R8_OUT,0.0,0.0,14.611068574421008,0.0,0.5637452474585122,1.0,0.28125,11.1,-3.488679267827733
0,all,R9,Medium,R9_OUT,0.0012141692018959405,0.003819204542474276,-1.8539097663259554,-0.007080460600889513,0.5637452474585122,1.0,0.28125,11.1,-3.488679267827733
0,all,R10,Medium,R10_OUT,0.0012196118262396808,0.0038363244756632713,-10.455554783615305,-0.04011090072302159,0.5637452474585122,1.0,0.28125,11.1,-3.488679267827733
0,all,R11,High,R11_OUT,0.0,0.0,-0.11548997430556243,-0.0,0.5637452474585122,1.0,0.28125,11.1,-3.488679267827733
0,all,R12,High,R12_OUT,0.3154777600775784,0.9923444709818624,-3.4680375687473592,-3.4414879065038226,0.5637452474585122,1.0,0.28125,11.1,-3.488679267827733
0,all,R13,High,R13_OUT,0.0,0.0,0.0,0.0,0.5637452474585122,1.0,0.28125,11.1,-3.488679267827733
0,all,R14,Medium,R14_OUT,0.0,0.0,0.0,0.0,0.5637452474585122,1.0,0.28125,11.1,-3.488679267827733
0,all,R15,High,R15_OUT,0.0,0.0,0.0,0.0,0.5637452474585122,1.0,0.28125,11.1,-3.488679267827733
0,all,R16,High,R16_OUT,0.0,0.0,0.0,0.0,0.5637452474585122,1.0,0.28125,11.1,-3.488679267827733
0,all,R17,High,R17_OUT,0.0,0.0,-19.632595465160485,-0.0,0.5637452474585122,1.0,0.28125,11.1,-3.488679267827733
0,all,R18,Very_High,R18_OUT,0.0,0.0,8.776118273467905,0.0,0.5637452474585122,1.0,0.28125,11.1,-3.488679267827733
0,all,R19,Very_High,R19_OUT,0.0,0.0,-39.17715267252356,-0.0,0.5637452474585122,1.0,0.28125,11.1,-3.488679267827733
0,all,R20,Very_High,R20_OUT,0.0,0.0,0.0,0.0,0.5637452474585122,1.0,0.28125,11.1,-3.488679267827733
1,all,R1,Very_Low,R1_OUT,0.0,0.0,2.7328602572526535,0.0,0.7677169851345398,0.5238095238095238,0.28125,21.1,10.067414440422937
1,all,R2,Very_Low,R2_OUT,0.0,0.0,4.388420104443169,0.0,0.7677169851345398,0.5238095238095238,0.28125,21.1,10.067414440422937
1,all,R3,Low,R3_OUT,0.0,0.0,-45.52024134856486,-0.0,0.7677169851345398,0.5238095238095238,0.28125,21.1,10.067414440422937
1,all,R4,Low,R4_OUT,0.0,0.0,-0.8426097124201579,-0.0,0.7677169851345398,0.5238095238095238,0.28125,21.1,10.067414440422937
1,all,R5,Medium,R5_OUT,0.0,0.0,0.0,0.0,0.7677169851345398,0.5238095238095238,0.28125,21.1,10.067414440422937
1,all,R6,Medium,R6_OUT,0.0,0.0,0.0,0.0,0.7677169851345398,0.5238095238095238,0.28125,21.1,10.067414440422937
